fecha,grupo_edad,ccaa_iso,num_casos,num_def,num_hosp,num_uci
2020-01-01,70-79,PV,0,0,0,0
2020-01-01,70-79,RI,0,0,0,0
2020-01-01,70-79,VC,0,0,0,0
2020-01-01,80+,AN,0,0,0,0
2020-01-01,80+,AR,0,0,0,0
2020-01-01,80+,AS,0,0,0,0
2020-01-01,80+,CB,0,0,0,0
2020-01-01,80+,CL,0,0,0,0
2020-01-01,80+,CM,0,0,0,0
2020-01-01,80+,CN,0,0,0,0
2020-01-01,80+,CT,0,0,0,0
2020-01-01,80+,EX,0,0,0,0
2020-01-01,80+,GA,0,0,1,0
2020-01-01,80+,IB,0,0,0,0
2020-01-01,80+,MC,0,0,0,0
2020-01-01,80+,MD,0,0,0,0
2020-01-01,80+,PV,0,0,0,0
2020-01-01,80+,RI,0,0,0,0
2020-01-01,80+,VC,0,0,2,0
2020-01-01,NC,AN,0,0,0,0
2020-01-01,NC,AR,0,0,0,0
2020-01-01,NC,AS,0,0,0,0
2020-01-01,NC,CB,0,0,0,0
2020-01-01,NC,CL,0,0,0,0
2020-01-01,NC,CM,0,0,0,0
2020-01-01,NC,CN,0,0,0,0
2020-01-01,NC,CT,0,0,0,0
2020-01-01,NC,EX,0,0,0,0
2020-01-01,NC,GA,0,0,0,0
2020-01-01,NC,IB,0,0,0,0
2020-01-01,NC,MC,0,0,0,0
2020-01-01,NC,MD,0,0,0,0
2020-01-01,NC,PV,0,0,0,0
2020-01-01,NC,RI,0,0,0,0
2020-01-01,NC,VC,0,0,0,0
2020-01-02,0-9,AN,0,0,0,0
2020-01-02,0-9,AR,0,0,0,0
2020-01-02,0-9,AS,0,0,0,0
2020-01-02,0-9,CB,0,0,0,0
2020-01-02,0-9,CL,0,0,0,0
2020-01-02,0-9,CM,0,0,0,0
2020-01-02,0-9,CN,0,0,0,0
2020-01-02,0-9,CT,0,0,0,0
2020-01-02,0-9,EX,0,0,0,0
2020-01-02,0-9,GA,0,0,0,0
2020-01-02,0-9,IB,0,0,0,0
2020-01-02,0-9,MC,0,0,0,0
2020-01-02,0-9,MD,0,0,1,1
2020-01-02,0-9,PV,0,0,0,0
2020-01-02,0-9,RI,0,0,0,0
2020-01-02,0-9,VC,0,0,0,0
2020-01-02,10-19,AN,0,0,0,0
2020-01-02,10-19,AR,0,0,0,0
2020-01-02,10-19,AS,0,0,0,0
2020-01-02,10-19,CB,0,0,0,0
2020-01-02,10-19,CL,0,0,0,0
2020-01-02,10-19,CM,0,0,0,0
2020-01-02,10-19,CN,0,0,0,0
2020-01-02,10-19,CT,0,0,0,0
2020-01-02,10-19,EX,0,0,0,0
2020-01-02,10-19,GA,0,0,0,0
2020-01-02,10-19,IB,0,0,0,0
2020-01-02,10-19,MC,0,0,0,0
2020-01-02,10-19,MD,0,0,0,0
2020-01-02,10-19,PV,0,0,0,0
2020-01-02,10-19,RI,0,0,0,0
2020-01-02,10-19,VC,0,0,0,0
2020-01-02,20-29,AN,0,0,0,0
2020-01-02,20-29,AR,0,0,0,0
2020-01-02,20-29,AS,0,0,0,0
