fecha,ccaa,perc_total
2021-04-12T22:00:00000Z,Asturias,0.23399999999999999
2021-04-13T22:00:00000Z,Asturias,0.24
2021-04-14T22:00:00000Z,Asturias,0.25
2021-04-15T22:00:00000Z,Asturias,0.259
2021-04-18T22:00:00000Z,Asturias,0.28600000000000003
2021-04-19T22:00:00000Z,Asturias,0.294
2021-04-20T22:00:00000Z,Asturias,0.303
2021-04-21T22:00:00000Z,Asturias,0.311
2021-04-22T22:00:00000Z,Asturias,0.319
2021-04-25T22:00:00000Z,Asturias,0.336
2021-04-26T22:00:00000Z,Asturias,0.342
2021-04-27T22:00:00000Z,Asturias,0.349
2021-04-28T22:00:00000Z,Asturias,0.354
2021-04-29T22:00:00000Z,Asturias,0.36
2021-05-02T22:00:00000Z,Asturias,0.373
2021-05-03T22:00:00000Z,Asturias,0.377
2021-05-04T22:00:00000Z,Asturias,0.386
2021-05-05T22:00:00000Z,Asturias,0.396
2021-05-06T22:00:00000Z,Asturias,0.406
2021-05-09T22:00:00000Z,Asturias,0.428
2021-05-10T22:00:00000Z,Asturias,0.436
2021-05-11T22:00:00000Z,Asturias,0.442
2021-05-12T22:00:00000Z,Asturias,0.45
2021-05-13T22:00:00000Z,Asturias,0.45799999999999996
2021-05-16T22:00:00000Z,Asturias,0.473
2021-05-17T22:00:00000Z,Asturias,0.48
2021-05-18T22:00:00000Z,Asturias,0.488
2021-05-19T22:00:00000Z,Asturias,0.49200000000000005
2021-05-20T22:00:00000Z,Asturias,0.496
2021-05-23T22:00:00000Z,Asturias,0.505
2021-05-24T22:00:00000Z,Asturias,0.51
2021-05-25T22:00:00000Z,Asturias,0.516
2021-05-26T22:00:00000Z,Asturias,0.523
2021-05-27T22:00:00000Z,Asturias,0.532
2021-05-30T22:00:00000Z,Asturias,0.5429999999999999
2021-05-31T22:00:00000Z,Asturias,0.5479999999999999
2021-06-01T22:00:00000Z,Asturias,0.555
2021-06-02T22:00:00000Z,Asturias,0.563
2021-03-30T22:00:00000Z,Baleares,0.11699999999999999
2021-03-31T22:00:00000Z,Baleares,0.11699999999999999
2021-04-02T22:00:00000Z,Baleares,0.126
