ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
C.Valenciana,2021-12-26,526,240,68,68,2696,0,1,2,1,5,39,24,20,6,22,0,3,6,0,1
Cantabria,2021-12-25,62,47,10,21,317,0,0,0,0,0,7,3,2,1,3,2,0,1,0,0
Baleares,2021-12-25,168,81,22,7,901,0,0,1,0,2,6,0,3,0,2,0,0,0,0,0
Asturias,2021-12-25,199,73,25,21,825,0,1,2,0,3,1,4,5,3,4,1,1,0,0,0
no_ccaa,2021-12-25,24,16,4,2,115,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Navarra,2021-12-25,222,67,23,19,1334,0,0,0,0,1,4,2,1,2,2,0,2,1,0,0
Murcia,2021-12-25,125,71,27,17,694,0,1,0,2,3,5,4,6,4,4,0,2,1,0,0
Melilla,2021-12-25,2,4,0,0,10,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
Madrid,2021-12-25,962,383,147,95,4097,0,0,0,2,1,32,19,31,21,28,0,4,4,3,0
La Rioja,2021-12-25,110,51,24,10,406,0,0,0,0,0,0,1,4,5,2,1,1,1,0,0
Aragón,2021-12-25,253,99,45,25,1261,0,0,0,0,4,7,4,10,9,8,0,0,0,1,1
Canarias,2021-12-25,281,114,48,23,1269,0,2,1,0,2,6,4,7,1,9,1,1,2,0,1
Ceuta,2021-12-25,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-12-25,310,105,62,53,2294,0,0,0,2,1,8,6,3,4,12,2,1,4,1,0
País Vasco,2021-12-25,559,214,101,54,2848,0,0,1,2,0,8,3,3,1,4,0,0,0,2,0
Extremadura,2021-12-25,174,63,26,18,971,0,0,0,0,0,1,0,4,0,5,0,0,0,0,0
Cataluña,2021-12-25,1308,471,207,112,6194,1,2,2,2,8,7,7,7,7,6,0,1,3,2,1
C.León,2021-12-25,545,218,91,69,2227,0,0,3,2,4,8,8,8,8,19,1,1,4,0,0
Andalucía,2021-12-25,851,371,138,72,4598,1,0,4,2,4,14,15,19,20,25,0,2,5,0,0
C.Mancha,2021-12-25,406,166,60,40,2003,0,0,0,2,1,8,11,3,4,10,0,0,1,0,0
C.Valenciana,2021-12-25,561,265,63,46,2807,0,0,2,2,5,55,16,22,9,11,2,4,5,0,0
Cantabria,2021-12-24,88,44,16,11,473,0,0,0,0,0,1,0,1,1,4,0,1,1,1,0
Baleares,2021-12-24,214,83,25,15,1189,0,0,1,1,0,9,4,3,1,2,1,0,0,0,0
Asturias,2021-12-24,169,72,20,29,850,0,1,1,0,1,1,0,3,1,8,0,0,0,0,0
no_ccaa,2021-12-24,37,12,6,1,163,0,0,0,0,0,2,1,2,0,0,1,0,2,0,0
Navarra,2021-12-24,360,148,53,37,1951,0,0,0,0,1,1,5,7,2,1,0,0,2,0,0
Murcia,2021-12-24,237,126,38,20,1229,0,0,2,0,3,6,10,7,4,8,1,4,2,2,0
Melilla,2021-12-24,10,2,0,0,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Madrid,2021-12-24,1332,620,238,124,6467,0,0,2,1,1,34,19,30,19,37,3,1,7,4,1
La Rioja,2021-12-24,210,103,50,22,842,0,0,0,0,1,3,1,5,3,2,0,0,0,0,0
Aragón,2021-12-24,350,140,53,24,1795,0,0,2,0,0,5,1,4,3,5,2,1,0,1,0
Canarias,2021-12-24,349,175,75,41,1970,1,0,0,0,3,6,4,7,4,5,0,1,1,0,0
Ceuta,2021-12-24,14,2,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-12-24,364,118,69,78,2912,0,1,0,0,1,16,9,5,7,11,1,2,3,1,1
País Vasco,2021-12-24,798,313,128,78,4371,0,0,0,1,7,11,9,10,5,6,1,0,1,0,0
Extremadura,2021-12-24,232,93,37,24,1379,0,0,0,0,0,2,4,2,0,1,0,1,0,0,0
Cataluña,2021-12-24,2682,1082,430,229,13443,0,1,3,6,9,9,6,18,16,8,2,0,2,2,1
C.León,2021-12-24,719,297,134,80,3504,0,0,0,1,0,8,8,4,10,16,1,1,0,1,1
Andalucía,2021-12-24,1502,599,184,109,7573,0,2,1,3,6,21,11,22,17,24,3,1,4,2,0
C.Mancha,2021-12-24,426,190,61,41,2500,1,0,0,1,1,3,5,7,1,12,0,3,2,0,1
C.Valenciana,2021-12-24,761,406,109,74,4192,0,0,0,0,6,36,14,23,9,13,0,2,1,1,1
Cantabria,2021-12-23,110,63,22,12,640,0,0,0,0,0,3,1,1,0,3,0,1,0,0,1
Baleares,2021-12-23,201,84,24,17,1312,0,0,1,1,1,3,1,4,3,2,1,0,1,1,1
Asturias,2021-12-23,183,88,29,42,928,0,0,1,0,4,5,5,5,1,6,0,0,1,0,1
no_ccaa,2021-12-23,20,13,3,2,150,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Navarra,2021-12-23,310,114,34,21,1723,0,0,1,0,2,2,4,4,0,2,1,1,0,0,0
Murcia,2021-12-23,227,105,36,13,1543,0,0,1,0,2,18,5,7,5,6,3,2,3,1,0
Melilla,2021-12-23,10,5,1,2,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Madrid,2021-12-23,3365,1444,599,251,18419,0,0,0,1,4,30,25,28,23,42,4,2,5,1,1
La Rioja,2021-12-23,209,77,26,22,860,0,1,0,0,0,1,2,1,1,3,0,0,0,0,0
Aragón,2021-12-23,376,150,53,55,2129,0,1,0,1,1,4,4,6,2,8,1,0,0,0,0
Canarias,2021-12-23,484,221,88,60,2478,0,0,1,0,0,3,2,7,9,10,0,0,2,0,0
Ceuta,2021-12-23,11,4,2,1,41,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Galicia,2021-12-23,344,142,59,38,2632,0,0,0,0,1,3,4,6,4,12,0,2,0,0,0
País Vasco,2021-12-23,723,303,94,65,4146,0,0,0,3,3,6,6,11,6,8,0,2,4,1,0
Extremadura,2021-12-23,289,113,27,34,1823,0,1,0,1,0,1,2,3,2,2,0,0,2,0,0
Cataluña,2021-12-23,2177,952,394,238,12119,0,1,2,4,10,10,5,16,19,13,1,1,3,0,0
C.León,2021-12-23,968,345,134,132,4728,0,0,2,1,0,11,6,7,7,6,0,1,0,1,0
Andalucía,2021-12-23,1637,671,202,129,9027,1,1,0,3,5,33,15,23,11,17,4,0,2,0,0
C.Mancha,2021-12-23,567,230,63,50,3325,1,1,2,1,2,11,4,7,1,14,1,0,1,0,1
C.Valenciana,2021-12-23,1060,582,182,164,6385,1,0,1,2,5,48,14,26,14,17,1,2,3,1,0
Cantabria,2021-12-22,103,59,13,15,551,0,0,0,0,1,7,3,8,2,3,1,0,0,1,0
Baleares,2021-12-22,226,92,22,9,1254,0,0,0,1,2,4,3,3,1,4,0,0,1,0,0
Asturias,2021-12-22,171,85,29,13,729,0,0,1,0,0,4,2,5,1,8,0,0,1,0,0
no_ccaa,2021-12-22,12,10,4,2,135,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0
Navarra,2021-12-22,261,108,34,25,1495,0,0,1,0,0,7,0,7,2,5,2,0,0,0,0
Murcia,2021-12-22,227,124,27,27,1537,0,0,0,1,3,11,9,2,0,3,1,1,0,0,0
Melilla,2021-12-22,10,3,0,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Madrid,2021-12-22,2911,1213,415,217,17536,0,1,1,0,2,47,25,22,22,35,5,4,5,2,0
La Rioja,2021-12-22,180,68,20,52,710,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0
Aragón,2021-12-22,290,131,54,57,1682,0,0,1,0,2,8,5,8,3,7,0,0,0,0,0
