ccaa,dose1_80,pop_80,perc_80,dose1_70,pop_70,perc_70,dose1_60,perc_60,dose1_50,pop_50,perc_50,dose1_25,pop_25,perc_25,dose1_18,pop_18,perc_18,dose1_16,pop_16,perc_16,dose1_total,pop_total,perc_total,fecha
"Andalucía","375.382","413.516","90,8%","21.914","916.147","3,4%","60.757","6,6%","133.942","1.265.021","10,6%","316.861","3.009.381","10,5%","24.984","625.846","4,0%","144","181.921","0,1%","933.984","7.062.213","13,2%","2021-03-30T22:00:00.000Z"
"Andalucía","391.814","413.516","94,8%","27.887","916.147","4,3%","70.060","7,6%","135.371","1.265.021","10,7%","318.461","3.009.381","10,6%","25.491","625.846","4,1%","152","181.921","0,1%","969.236","7.062.213","13,7%","2021-03-31T22:00:00.000Z"
"Andalucía","395.442","413.516","95,6%","30.501","916.147","4,7%","75.084","8,2%","135.587","1.265.021","10,7%","319.234","3.009.381","10,6%","25.655","625.846","4,1%","154","181.921","0,1%","981.657","7.062.213","13,9%","2021-04-02T22:00:00.000Z"
"Andalucía","396.168","413.516","95,8%","34.176","916.147","5,3%","83.158","9,1%","135.867","1.265.021","10,7%","319.567","3.009.381","10,6%","25.892","625.846","4,1%","154","181.921","0,1%","994.982","7.062.213","14,1%","2021-04-04T22:00:00.000Z"
"Andalucía","398.827","413.516","96,4%","47.996","916.147","7,4%","101.365","11,1%","137.105","1.265.021","10,8%","320.811","3.009.381","10,7%","26.233","625.846","4,2%","163","181.921","0,1%","1.032.500","7.062.213","14,6%","2021-04-05T22:00:00.000Z"
"Andalucía","402.738","413.516","97,4%","77.477","916.147","11,9%","124.728","13,6%","139.311","1.265.021","11,0%","322.353","3.009.381","10,7%","26.732","625.846","4,3%","184","181.921","0,1%","1.093.523","7.062.213","15,5%","2021-04-06T22:00:00.000Z"
"Andalucía","405.983","413.516","98,2%","115.348","916.147","17,7%","151.927","16,6%","141.864","1.265.021","11,2%","324.650","3.009.381","10,8%","27.991","625.846","4,5%","188","181.921","0,1%","1.167.951","7.062.213","16,5%","2021-04-07T22:00:00.000Z"
"Andalucía","409.048","413.516","98,9%","154.845","916.147","23,8%","181.090","19,8%","142.245","1.265.021","11,2%","325.249","3.009.381","10,8%","28.125","625.846","4,5%","200","181.921","0,1%","1.240.802","7.062.213","17,6%","2021-04-08T22:00:00.000Z"
"Andalucía","412.608","413.516","99,8%","192.640","916.147","29,6%","220.211","24,0%","143.989","1.265.021","11,4%","327.011","3.009.381","10,9%","28.346","625.846","4,5%","231","181.921","0,1%","1.325.036","7.062.213","18,8%","2021-04-11T22:00:00.000Z"
"Andalucía","414.158","413.516","100,2%","215.214","916.147","33,1%","236.265","25,8%","144.554","1.265.021","11,4%","327.582","3.009.381","10,9%","28.437","625.846","4,5%","241","181.921","0,1%","1.366.451","7.062.213","19,3%","2021-04-12T22:00:00.000Z"
"Andalucía","415.210","413.516","100,4%","245.253","916.147","37,7%","256.419","28,0%","145.229","1.265.021","11,5%","328.317","3.009.381","10,9%","28.534","625.846","4,6%","247","181.921","0,1%","1.419.209","7.062.213","20,1%","2021-04-13T22:00:00.000Z"
"Andalucía","416.457","413.516","100,7%","281.192","916.147","43,2%","280.594","30,6%","145.706","1.265.021","11,5%","329.018","3.009.381","10,9%","28.613","625.846","4,6%","257","181.921","0,1%","1.481.837","7.062.213","21,0%","2021-04-14T22:00:00.000Z"
"Andalucía","417.610","413.516","101,0%","316.930","916.147","48,7%","303.895","33,2%","146.346","1.265.021","11,6%","329.740","3.009.381","11,0%","28.695","625.846","4,6%","262","181.921","0,1%","1.543.478","7.062.213","21,9%","2021-04-15T22:00:00.000Z"
"Andalucía","418.968","413.516","101,3%","350.695","916.147","53,9%","329.791","36,0%","147.611","1.265.021","11,7%","330.905","3.009.381","11,0%","28.825","625.846","4,6%","275","181.921","0,2%","1.607.070","7.062.213","22,8%","2021-04-18T22:00:00.000Z"
"Andalucía","418.968","413.516","101,3%","350.695","916.147","53,9%","329.791","36,0%","147.611","1.265.021","11,7%","330.905","3.009.381","11,0%","28.825","625.846","4,6%","275","181.921","0,2%","1.607.070","7.062.213","22,8%","2021-04-19T22:00:00.000Z"
"Andalucía","420.295","413.516","101,6%","392.644","916.147","60,4%","356.041","38,9%","149.195","1.265.021","11,8%","332.516","3.009.381","11,0%","29.037","625.846","4,6%","293","181.921","0,2%","1.680.021","7.062.213","23,8%","2021-04-20T22:00:00.000Z"
"Andalucía","420.965","413.516","101,8%","419.276","916.147","64,5%","366.426","40,0%","149.699","1.265.021","11,8%","333.161","3.009.381","11,1%","29.116","625.846","4,7%","303","181.921","0,2%","1.718.946","7.062.213","24,3%","2021-04-21T22:00:00.000Z"
"Andalucía","421.829","413.516","102,0%","458.845","916.147","70,6%","382.756","41,8%","150.480","1.265.021","11,9%","335.112","3.009.381","11,1%","29.195","625.846","4,7%","312","181.921","0,2%","1.778.529","7.062.213","25,2%","2021-04-22T22:00:00.000Z"
"Andalucía","422.742","413.516","102,2%","490.596","916.147","75,4%","407.786","44,5%","150.912","1.265.021","11,9%","335.645","3.009.381","11,2%","29.275","625.846","4,7%","322","181.921","0,2%","1.837.278","7.062.213","26,0%","2021-04-25T22:00:00.000Z"
"Andalucía","423.029","413.516","102,3%","504.030","916.147","77,5%","421.794","46,0%","151.275","1.265.021","12,0%","336.014","3.009.381","11,2%","29.320","625.846","4,7%","327","181.921","0,2%","1.865.789","7.062.213","26,4%","2021-04-26T22:00:00.000Z"
"Andalucía","423.626","413.516","102,4%","519.783","916.147","79,9%","441.207","48,2%","151.575","1.265.021","12,0%","336.421","3.009.381","11,2%","29.378","625.846","4,7%","331","181.921","0,2%","1.902.321","7.062.213","26,9%","2021-04-27T22:00:00.000Z"
"Andalucía","424.111","413.516","102,6%","548.505","916.147","84,3%","465.564","50,8%","152.033","1.265.021","12,0%","337.014","3.009.381","11,2%","29.431","625.846","4,7%","344","181.921","0,2%","1.957.002","7.062.213","27,7%","2021-04-28T22:00:00.000Z"
"Andalucía","424.291","413.516","100,0%","555.887","916.147","85,5%","479.296","52,3%","152.377","1.265.021","12,0%","337.362","3.009.381","11,2%","29.613","625.846","4,7%","344","181.921","0,2%","1.979.170","7.062.213","28,0%","2021-04-29T22:00:00.000Z"
"Andalucía","425.238","413.516","100,0%","579.067","916.147","89,0%","529.280","57,8%","153.197","1.265.021","12,1%","338.517","3.009.381","11,2%","30.242","625.846","4,8%","365","181.921","0,2%","2.055.906","7.062.213","29,1%","2021-05-02T22:00:00.000Z"
"Andalucía","425.438","413.516","100,0%","585.372","916.147","90,0%","548.244","59,8%","153.727","1.265.021","12,2%","339.367","3.009.381","11,3%","30.596","625.846","4,9%","369","181.921","0,2%","2.083.113","7.062.213","29,5%","2021-05-03T22:00:00.000Z"
"Andalucía","425.758","413.516","100,0%","593.313","916.147","91,2%","580.223","63,3%","155.669","1.265.021","12,3%","340.659","3.009.381","11,3%","30.968","625.846","4,9%","369","181.921","0,2%","2.126.959","7.062.213","30,1%","2021-05-04T22:00:00.000Z"
"Andalucía","426.137","413.516","100,0%","601.130","916.147","92,4%","615.058","67,1%","161.716","1.265.021","0","342.937","3.009.381","11,4%","31.432","625.846","5,0%","377","181.921","0,2%","2.178.787","7.062.213","30,9%","2021-05-05T22:00:00.000Z"
"Andalucía","426.515","413.516","100,0%","608.351","916.147","93,5%","651.927","71,2%","172.450","1.265.021","0","344.580","3.009.381","11,5%","31.683","625.846","5,1%","388","181.921","0,2%","2.235.894","7.062.213","31,7%","2021-05-06T22:00:00.000Z"
"Andalucía","426.878","413.516","100,0%","615.626","916.147","94,7%","688.876","75,2%","192.459","1.265.021","0","346.768","3.009.381","11,5%","31.912","625.846","5,1%","403","181.921","0,2%","2.302.922","7.062.213","32,6%","2021-05-09T22:00:00.000Z"
"Andalucía","427.064","413.516","100,0%","618.253","916.147","95,1%","706.628","77,1%","211.062","1.265.021","0","348.553","3.009.381","11,6%","32.139","625.846","5,1%","409","181.921","0,2%","2.344.108","7.062.213","33,2%","2021-05-10T22:00:00.000Z"
"Andalucía","427.258","413.516","100,0%","621.021","916.147","95,5%","721.969","78,8%","244.811","1.265.021","0","350.108","3.009.381","11,6%","32.233","625.846","5,2%","413","181.921","0,2%","2.397.813","7.062.213","34,0%","2021-05-11T22:00:00.000Z"
"Andalucía","427.476","413.516","100,0%","623.492","916.147","95,9%","731.809","79,9%","275.326","1.265.021","0","351.106","3.009.381","11,7%","32.375","625.846","5,2%","421","181.921","0,2%","2.442.005","7.062.213","34,6%","2021-05-12T22:00:00.000Z"
"Andalucía","427.680","413.516","100,0%","625.655","916.147","96,2%","743.550","81,2%","308.951","1.265.021","0","353.074","3.009.381","11,7%","32.577","625.846","5,2%","435","181.921","0,2%","2.491.922","7.062.213","35,3%","2021-05-13T22:00:00.000Z"
"Andalucía","427.983","413.516","100,0%","628.171","916.147","96,6%","760.431","83,0%","368.999","1.265.021","29,2%","358.359","3.009.381","11,9%","33.127","625.846","5,3%","447","181.921","0,2%","2.577.517","7.062.213","36,5%","2021-05-16T22:00:00.000Z"
"Andalucía","428.139","413.516","100,0%","629.704","916.147","96,8%","770.001","84,0%","394.606","1.265.021","31,2%","361.784","3.009.381","12,0%","33.433","625.846","5,3%","454","181.921","0,2%","2.618.121","7.062.213","37,1%","2021-05-17T22:00:00.000Z"
"Andalucía","428.357","413.516","100,0%","631.710","916.147","97,1%","778.206","84,9%","439.227","1.265.021","34,7%","364.561","3.009.381","12,1%","33.915","625.846","5,4%","468","181.921","0,3%","2.676.444","7.062.213","37,9%","2021-05-18T22:00:00.000Z"
"Andalucía","428.585","413.516","100,0%","633.332","916.147","97,4%","785.277","85,7%","492.962","1.265.021","39,0%","367.761","3.009.381","12,2%","34.499","625.846","5,5%","474","181.921","0,3%","2.742.890","7.062.213","38,8%","2021-05-19T22:00:00.000Z"
"Andalucía","428.802","413.516","100,0%","634.625","916.147","97,6%","793.166","86,6%","541.102","1.265.021","42,8%","371.210","3.009.381","12,3%","35.248","625.846","5,6%","479","181.921","0,3%","2.804.632","7.062.213","39,7%","2021-05-20T22:00:00.000Z"
"Andalucía","429.025","413.516","100,0%","635.716","916.147","97,7%","800.217","87,3%","588.905","1.265.021","46,6%","377.900","3.009.381","12,6%","36.754","625.846","5,9%","488","181.921","0,3%","2.869.005","7.062.213","40,6%","2021-05-23T22:00:00.000Z"
"Andalucía","429.098","413.516","100,0%","636.212","916.147","97,8%","804.877","87,9%","617.562","1.265.021","48,8%","379.702","3.009.381","12,6%","37.146","625.846","5,9%","494","181.921","0,3%","2.905.091","7.062.213","41,1%","2021-05-24T22:00:00.000Z"
"Andalucía","429.255","413.516","100,0%","636.895","916.147","97,9%","808.761","88,3%","659.023","1.265.021","52,1%","381.554","3.009.381","12,7%","37.728","625.846","6,0%","505","181.921","0,3%","2.953.721","7.062.213","41,8%","2021-05-25T22:00:00.000Z"
"Andalucía","429.412","413.516","100,0%","637.662","916.147","98,0%","812.410","88,7%","712.500","1.265.021","56,3%","383.707","3.009.381","12,8%","38.038","625.846","6,1%","513","181.921","0,3%","3.014.242","7.062.213","42,7%","2021-05-26T22:00:00.000Z"
"Andalucía","429.539","413.516","100,0%","638.242","916.147","98,1%","815.972","89,1%","758.086","1.265.021","59,9%","385.871","3.009.381","12,8%","38.449","625.846","6,1%","521","181.921","0,3%","3.066.680","7.062.213","43,4%","2021-05-27T22:00:00.000Z"
"Andalucía","429.699","413.516","100,0%","638.790","916.147","98,2%","820.289","89,5%","803.964","1.265.021","63,6%","388.269","3.009.381","12,9%","38.803","625.846","6,2%","527","181.921","0,3%","3.120.341","7.062.213","44,2%","2021-05-30T22:00:00.000Z"
"Andalucía","429.777","413.516","100,0%","639.198","916.147","98,3%","823.960","89,9%","836.075","1.265.021","66,1%","390.613","3.009.381","13,0%","39.094","625.846","6,2%","528","181.921","0,3%","3.159.245","7.062.213","44,7%","2021-05-31T22:00:00.000Z"
"Andalucía","429.873","413.516","100,0%","639.607","916.147","98,3%","826.677","90,2%","879.900","1.265.021","69,6%","394.963","3.009.381","13,1%","39.420","625.846","6,3%","536","181.921","0,3%","3.210.976","7.062.213","45,5%","2021-06-01T22:00:00.000Z"
"Andalucía","429.972","413.516","100,0%","640.012","916.147","98,4%","830.106","90,6%","921.301","1.265.021","72,8%","406.890","3.009.381","13,5%","39.797","625.846","6,4%","547","181.921","0,3%","3.268.625","7.062.213","46,3%","2021-06-02T22:00:00.000Z"
"Andalucía","430.059","100,0%","640.350","98,5%","76,2%","90,9%","964.535","236.315","17,1%","192.971","11,9%","40.121","6,4%","559","0,3%","3.337.630","7.062.213","47,3%",,,,,,"2021-06-03T22:00:00.000Z"
"Aragón","71.256","98.807","72,1%","3.553","156.367","3,0%","11.417","7,3%","22.612","198.266","11,4%","46.702","446.083","10,5%","5.493","89.180","6,2%","28","25.106","0,1%","161.061","1.132.764","14,2%","2021-03-30T22:00:00.000Z"
"Aragón","73.468","98.807","74,4%","3.683","156.367","3,1%","12.136","7,8%","23.204","198.266","11,7%","47.234","446.083","10,6%","5.522","89.180","6,2%","28","25.106","0,1%","165.275","1.132.764","14,6%","2021-03-31T22:00:00.000Z"
"Aragón","75.171","98.807","76,1%","3.747","156.367","3,1%","12.623","8,1%","23.857","198.266","12,0%","47.850","446.083","10,7%","5.551","89.180","6,2%","28","25.106","0,1%","168.827","1.132.764","14,9%","2021-04-02T22:00:00.000Z"
"Aragón","75.176","98.807","76,1%","3.749","156.367","3,2%","12.624","8,1%","23.857","198.266","12,0%","47.852","446.083","10,7%","5.551","89.180","6,2%","28","25.106","0,1%","168.837","1.132.764","14,9%","2021-04-04T22:00:00.000Z"
"Aragón","75.454","98.807","76,4%","3.752","156.367","3,2%","14.735","9,4%","25.077","198.266","12,6%","48.713","446.083","10,9%","5.621","89.180","6,3%","28","25.106","0,1%","173.380","1.132.764","15,3%","2021-04-05T22:00:00.000Z"
"Aragón","78.591","98.807","79,5%","3.925","156.367","3,3%","16.047","10,3%","25.391","198.266","12,8%","49.029","446.083","11,0%","5.657","89.180","6,3%","28","25.106","0,1%","178.668","1.132.764","15,8%","2021-04-06T22:00:00.000Z"
"Aragón","86.529","98.807","87,6%","4.736","156.367","4,0%","17.813","11,4%","26.223","198.266","13,2%","49.734","446.083","11,1%","5.728","89.180","6,4%","29","25.106","0,1%","190.792","1.132.764","16,8%","2021-04-07T22:00:00.000Z"
"Aragón","93.533","98.807","94,7%","6.384","156.367","5,4%","19.914","12,7%","26.281","198.266","13,3%","49.822","446.083","11,2%","5.738","89.180","6,4%","29","25.106","0,1%","201.701","1.132.764","17,8%","2021-04-08T22:00:00.000Z"
"Aragón","96.328","98.807","97,5%","9.430","156.367","7,9%","22.613","14,5%","26.325","198.266","13,3%","49.920","446.083","11,2%","5.746","89.180","6,4%","30","25.106","0,1%","210.392","1.132.764","18,6%","2021-04-11T22:00:00.000Z"
"Aragón","96.404","98.807","97,6%","9.662","156.367","8,1%","30.757","19,7%","26.342","198.266","13,3%","49.930","446.083","11,2%","5.746","89.180","6,4%","30","25.106","0,1%","218.871","1.132.764","19,3%","2021-04-12T22:00:00.000Z"
"Aragón","96.635","98.807","97,8%","15.413","156.367","13,0%","34.368","22,0%","26.386","198.266","13,3%","49.966","446.083","11,2%","5.749","89.180","6,4%","30","25.106","0,1%","228.547","1.132.764","20,2%","2021-04-13T22:00:00.000Z"
"Aragón","97.219","98.807","98,4%","26.902","156.367","22,6%","37.044","23,7%","26.471","198.266","13,4%","50.066","446.083","11,2%","5.765","89.180","6,5%","30","25.106","0,1%","243.497","1.132.764","21,5%","2021-04-14T22:00:00.000Z"
"Aragón","97.853","98.807","99,0%","45.856","156.367","38,5%","41.500","26,5%","26.600","198.266","13,4%","50.214","446.083","11,3%","5.775","89.180","6,5%","30","25.106","0,1%","267.828","1.132.764","23,6%","2021-04-15T22:00:00.000Z"
"Aragón","98.226","98.807","99,4%","53.561","156.367","45,0%","45.091","28,8%","26.887","198.266","13,6%","50.447","446.083","11,3%","5.787","89.180","6,5%","30","25.106","0,1%","280.029","1.132.764","24,7%","2021-04-18T22:00:00.000Z"
"Aragón","98.221","98.807","99,4%","54.136","156.367","45,5%","52.183","33,4%","27.013","198.266","13,6%","50.549","446.083","11,3%","5.787","89.180","6,5%","30","25.106","0,1%","287.919","1.132.764","25,4%","2021-04-19T22:00:00.000Z"
"Aragón","98.309","98.807","99,5%","60.971","156.367","51,3%","55.157","35,3%","27.264","198.266","13,8%","50.824","446.083","11,4%","5.822","89.180","6,5%","30","25.106","0,1%","298.377","1.132.764","26,3%","2021-04-20T22:00:00.000Z"
"Aragón","98.626","98.807","99,8%","74.696","156.367","62,8%","58.650","37,5%","27.463","198.266","13,9%","51.018","446.083","11,4%","5.836","89.180","6,5%","32","25.106","0,1%","316.321","1.132.764","27,9%","2021-04-21T22:00:00.000Z"
"Aragón","98.854","98.807","100,0%","87.412","156.367","73,5%","62.018","39,7%","27.608","198.266","13,9%","51.182","446.083","11,5%","5.839","89.180","6,5%","34","25.106","0,1%","332.947","1.132.764","29,4%","2021-04-22T22:00:00.000Z"
"Aragón","98.663","98.807","99,9%","89.125","156.367","74,9%","65.073","41,6%","27.613","198.266","13,9%","51.193","446.083","11,5%","5.839","89.180","6,5%","34","25.106","0,1%","337.540","1.132.764","29,8%","2021-04-25T22:00:00.000Z"
"Aragón","98.913","98.807","100,1%","89.575","156.367","75,3%","70.364","45,0%","27.719","198.266","14,0%","51.254","446.083","11,5%","5.843","89.180","6,6%","34","25.106","0,1%","343.702","1.132.764","30,3%","2021-04-26T22:00:00.000Z"
"Aragón","98.880","98.807","100,1%","93.354","156.367","78,5%","74.174","47,4%","27.825","198.266","14,0%","51.354","446.083","11,5%","5.847","89.180","6,6%","34","25.106","0,1%","351.468","1.132.764","31,0%","2021-04-27T22:00:00.000Z"
"Aragón","99.098","98.807","100,3%","99.573","156.367","83,7%","80.128","51,2%","28.053","198.266","14,1%","51.611","446.083","11,6%","5.867","89.180","6,6%","34","25.106","0,1%","364.364","1.132.764","32,2%","2021-04-28T22:00:00.000Z"
"Aragón","99.213","98.807","100,0%","104.691","156.367","88,0%","87.554","56,0%","28.303","198.266","14,3%","51.841","446.083","11,6%","5.884","89.180","6,6%","35","25.106","0,1%","377.521","1.132.764","33,3%","2021-04-29T22:00:00.000Z"
"Aragón","99.342","98.807","100,0%","108.181","156.367","90,9%","94.302","60,3%","28.645","198.266","14,4%","52.190","446.083","11,7%","5.907","89.180","6,6%","35","25.106","0,1%","388.602","1.132.764","34,3%","2021-05-02T22:00:00.000Z"
"Aragón","99.365","98.807","100,0%","108.356","156.367","91,1%","98.986","63,3%","28.718","198.266","14,5%","52.256","446.083","11,7%","5.914","89.180","6,6%","35","25.106","0,1%","393.630","1.132.764","34,7%","2021-05-03T22:00:00.000Z"
"Aragón","99.405","98.807","100,0%","108.906","156.367","91,6%","105.390","67,4%","28.859","198.266","14,6%","52.515","446.083","11,8%","5.930","89.180","6,6%","35","25.106","0,1%","401.040","1.132.764","35,4%","2021-05-04T22:00:00.000Z"
"Aragón","99.476","98.807","100,0%","110.184","156.367","92,6%","109.988","70,3%","30.155","198.266","0","53.372","446.083","12,0%","5.997","89.180","6,7%","38","25.106","0,2%","409.210","1.132.764","36,1%","2021-05-05T22:00:00.000Z"
"Aragón","99.549","98.807","100,0%","111.314","156.367","93,6%","114.988","73,5%","32.518","198.266","0","54.069","446.083","12,1%","6.064","89.180","6,8%","40","25.106","0,2%","418.542","1.132.764","36,9%","2021-05-06T22:00:00.000Z"
"Aragón","99.636","98.807","100,0%","112.014","156.367","94,2%","118.933","76,1%","35.815","198.266","0","54.687","446.083","12,3%","6.137","89.180","6,9%","40","25.106","0,2%","427.262","1.132.764","37,7%","2021-05-09T22:00:00.000Z"
"Aragón","99.650","98.807","100,0%","112.102","156.367","94,2%","123.722","79,1%","36.976","198.266","0","54.849","446.083","12,3%","6.151","89.180","6,9%","41","25.106","0,2%","433.491","1.132.764","38,3%","2021-05-10T22:00:00.000Z"
"Aragón","99.689","98.807","100,0%","112.284","156.367","94,4%","126.021","80,6%","39.397","198.266","0","55.230","446.083","12,4%","6.179","89.180","6,9%","41","25.106","0,2%","438.841","1.132.764","38,7%","2021-05-11T22:00:00.000Z"
"Aragón","99.845","98.807","100,0%","113.292","156.367","95,2%","129.269","82,7%","44.126","198.266","0","56.097","446.083","12,6%","6.234","89.180","7,0%","45","25.106","0,2%","448.908","1.132.764","39,6%","2021-05-12T22:00:00.000Z"
"Aragón","99.931","98.807","100,0%","114.276","156.367","96,1%","131.614","84,2%","48.961","198.266","0","56.826","446.083","12,7%","6.299","89.180","7,1%","47","25.106","0,2%","457.954","1.132.764","40,4%","2021-05-13T22:00:00.000Z"
"Aragón","99.995","98.807","100,0%","114.953","156.367","96,6%","133.844","85,6%","53.777","198.266","27,1%","57.716","446.083","12,9%","6.366","89.180","7,1%","48","25.106","0,2%","466.699","1.132.764","41,2%","2021-05-16T22:00:00.000Z"
"Aragón","99.998","98.807","100,0%","114.981","156.367","96,7%","134.726","86,2%","55.626","198.266","28,1%","57.778","446.083","13,0%","6.377","89.180","7,2%","48","25.106","0,2%","469.534","1.132.764","41,5%","2021-05-17T22:00:00.000Z"
"Aragón","100.026","98.807","100,0%","115.097","156.367","96,8%","136.540","87,3%","60.095","198.266","30,3%","58.120","446.083","13,0%","6.396","89.180","7,2%","48","25.106","0,2%","476.322","1.132.764","42,0%","2021-05-18T22:00:00.000Z"
"Aragón","100.085","98.807","100,0%","115.521","156.367","97,1%","137.035","87,6%","67.734","198.266","34,2%","58.676","446.083","13,2%","6.446","89.180","7,2%","50","25.106","0,2%","485.547","1.132.764","42,9%","2021-05-19T22:00:00.000Z"
"Aragón","100.128","98.807","100,0%","115.822","156.367","97,4%","138.052","88,3%","74.695","198.266","37,7%","59.129","446.083","13,3%","6.492","89.180","7,3%","54","25.106","0,2%","494.372","1.132.764","43,6%","2021-05-20T22:00:00.000Z"
"Aragón","100.154","98.807","100,0%","115.939","156.367","97,5%","138.429","88,5%","78.571","198.266","39,6%","59.562","446.083","13,4%","6.525","89.180","7,3%","55","25.106","0,2%","499.235","1.132.764","44,1%","2021-05-23T22:00:00.000Z"
"Aragón","100.156","98.807","100,0%","115.969","156.367","97,5%","138.529","88,6%","80.265","198.266","40,5%","59.726","446.083","13,4%","6.544","89.180","7,3%","55","25.106","0,2%","501.244","1.132.764","44,2%","2021-05-24T22:00:00.000Z"
"Aragón","100.174","98.807","100,0%","116.070","156.367","97,6%","139.850","89,4%","85.309","198.266","43,0%","60.779","446.083","13,6%","6.637","89.180","7,4%","56","25.106","0,2%","508.875","1.132.764","44,9%","2021-05-25T22:00:00.000Z"
"Aragón","100.245","98.807","100,0%","116.355","156.367","97,8%","140.312","89,7%","97.689","198.266","49,3%","61.381","446.083","13,8%","6.683","89.180","7,5%","58","25.106","0,2%","522.723","1.132.764","46,1%","2021-05-26T22:00:00.000Z"
"Aragón","100.292","98.807","100,0%","116.592","156.367","98,0%","140.748","90,0%","110.387","198.266","55,7%","61.930","446.083","13,9%","6.737","89.180","7,6%","60","25.106","0,2%","536.746","1.132.764","47,4%","2021-05-27T22:00:00.000Z"
"Aragón","100.330","98.807","100,0%","116.763","156.367","98,2%","140.998","90,2%","117.028","198.266","59,0%","62.864","446.083","14,1%","6.836","89.180","7,7%","62","25.106","0,2%","544.881","1.132.764","48,1%","2021-05-30T22:00:00.000Z"
"Aragón","100.343","98.807","100,0%","116.792","156.367","98,2%","141.805","90,7%","118.369","198.266","59,7%","63.362","446.083","14,2%","6.812","89.180","7,6%","62","25.106","0,2%","547.545","1.132.764","48,3%","2021-05-31T22:00:00.000Z"
"Aragón","100.349","98.807","100,0%","116.849","156.367","98,2%","142.203","90,9%","122.265","198.266","61,7%","63.834","446.083","14,3%","6.826","89.180","7,7%","62","25.106","0,2%","552.388","1.132.764","48,8%","2021-06-01T22:00:00.000Z"
"Aragón","100.374","98.807","100,0%","116.956","156.367","98,3%","142.410","91,1%","127.881","198.266","64,5%","64.896","446.083","14,5%","6.888","89.180","7,7%","62","25.106","0,2%","559.467","1.132.764","49,4%","2021-06-02T22:00:00.000Z"
"Aragón","100.447","100,0%","117.238","98,6%","73,3%","91,3%","145.329","37.308","17,4%","32.061","13,9%","6.983","7,8%","65","0,3%","582.195","1.132.764","51,4%",,,,,,"2021-06-03T22:00:00.000Z"
"Asturias","67.037","87.826","76,3%","4.258","149.652","3,9%","15.803","10,6%","19.259","162.645","11,8%","29.619","322.095","9,2%","2.816","54.179","5,2%","30","15.563","0,2%","138.822","901.209","15,4%","2021-03-30T22:00:00.000Z"
"Asturias","71.508","87.826","81,4%","4.360","149.652","4,0%","16.775","11,2%","19.502","162.645","12,0%","29.831","322.095","9,3%","2.881","54.179","5,3%","30","15.563","0,2%","144.887","901.209","16,1%","2021-03-31T22:00:00.000Z"
"Asturias","73.847","87.826","84,1%","4.395","149.652","4,0%","19.750","13,2%","19.635","162.645","12,1%","29.858","322.095","9,3%","2.883","54.179","5,3%","30","15.563","0,2%","150.398","901.209","16,7%","2021-04-02T22:00:00.000Z"
"Asturias","74.184","87.826","84,5%","4.399","149.652","4,0%","25.965","17,4%","20.010","162.645","12,3%","29.866","322.095","9,3%","2.884","54.179","5,3%","30","15.563","0,2%","157.338","901.209","17,5%","2021-04-04T22:00:00.000Z"
"Asturias","75.946","87.826","86,5%","4.451","149.652","4,1%","28.498","19,0%","20.275","162.645","12,5%","29.933","322.095","9,3%","2.888","54.179","5,3%","30","15.563","0,2%","162.021","901.209","18,0%","2021-04-05T22:00:00.000Z"
"Asturias","80.958","87.826","92,2%","5.634","149.652","5,2%","29.865","20,0%","20.342","162.645","12,5%","29.999","322.095","9,3%","2.892","54.179","5,3%","30","15.563","0,2%","169.720","901.209","18,8%","2021-04-06T22:00:00.000Z"
"Asturias","83.167","87.826","94,7%","9.818","149.652","9,0%","31.463","21,0%","20.480","162.645","12,6%","30.041","322.095","9,3%","2.896","54.179","5,3%","30","15.563","0,2%","177.895","901.209","19,7%","2021-04-07T22:00:00.000Z"
"Asturias","84.218","87.826","95,9%","15.672","149.652","14,3%","33.570","22,4%","20.558","162.645","12,6%","30.106","322.095","9,3%","2.901","54.179","5,4%","30","15.563","0,2%","187.055","901.209","20,8%","2021-04-08T22:00:00.000Z"
"Asturias","85.038","87.826","96,8%","29.644","149.652","27,1%","35.287","23,6%","20.935","162.645","12,9%","30.530","322.095","9,5%","2.987","54.179","5,5%","33","15.563","0,2%","204.454","901.209","22,7%","2021-04-11T22:00:00.000Z"
"Asturias","85.153","87.826","97,0%","34.883","149.652","31,9%","36.373","24,3%","21.034","162.645","12,9%","30.734","322.095","9,5%","3.036","54.179","5,6%","33","15.563","0,2%","211.246","901.209","23,4%","2021-04-12T22:00:00.000Z"
"Asturias","85.312","87.826","97,1%","37.732","149.652","34,5%","37.912","25,3%","21.117","162.645","13,0%","30.845","322.095","9,6%","3.054","54.179","5,6%","34","15.563","0,2%","216.006","901.209","24,0%","2021-04-13T22:00:00.000Z"
"Asturias","85.408","87.826","97,2%","44.382","149.652","40,6%","40.077","26,8%","21.200","162.645","13,0%","30.987","322.095","9,6%","3.125","54.179","5,8%","34","15.563","0,2%","225.213","901.209","25,0%","2021-04-14T22:00:00.000Z"
"Asturias","85.537","87.826","97,4%","49.120","149.652","45,0%","43.401","29,0%","21.291","162.645","13,1%","31.166","322.095","9,7%","3.161","54.179","5,8%","36","15.563","0,2%","233.712","901.209","25,9%","2021-04-15T22:00:00.000Z"
"Asturias","86.018","87.826","97,9%","56.460","149.652","51,7%","56.770","37,9%","22.179","162.645","13,6%","33.024","322.095","10,3%","3.356","54.179","6,2%","36","15.563","0,2%","257.843","901.209","28,6%","2021-04-18T22:00:00.000Z"
